date,total_cases,daily_cases,active_cases,total_deaths,daily_deaths
2020-02-15,0,,0.0,0,
2020-02-16,0,,0.0,0,
2020-02-17,0,,0.0,0,
2020-02-18,0,,0.0,0,
2020-02-19,0,,0.0,0,
2020-02-20,0,,0.0,0,
2020-02-21,0,,0.0,0,
2020-02-22,0,,0.0,0,
2020-02-23,0,,0.0,0,
2020-02-24,0,,0.0,0,
2020-02-25,0,,0.0,0,
2020-02-26,0,,0.0,0,
2020-02-27,0,,0.0,0,
2020-02-28,0,,0.0,0,
2020-02-29,0,,0.0,0,
2020-03-01,0,,0.0,0,
2020-03-02,0,,0.0,0,
2020-03-03,1,,1.0,0,
2020-03-04,3,2.0,3.0,0,
2020-03-05,4,1.0,4.0,0,
2020-03-06,5,1.0,5.0,0,
2020-03-07,7,2.0,7.0,0,
2020-03-08,10,3.0,10.0,0,
2020-03-09,13,3.0,13.0,0,
2020-03-10,17,4.0,17.0,0,
2020-03-11,23,6.0,23.0,0,
2020-03-12,33,10.0,33.0,0,
2020-03-13,43,10.0,43.0,0,
2020-03-14,61,18.0,61.0,0,
2020-03-15,75,14.0,75.0,0,
2020-03-16,156,81.0,156.0,0,
2020-03-17,201,45.0,201.0,0,
2020-03-18,238,37.0,238.0,0,
2020-03-19,342,104.0,342.0,0,
2020-03-20,434,92.0,428.0,0,
2020-03-21,537,103.0,528.0,1,
2020-03-22,632,95.0,623.0,1,0.0
2020-03-23,746,114.0,733.0,2,1.0
2020-03-24,922,176.0,903.0,2,0.0
2020-03-25,1142,220.0,1117.0,3,1.0
2020-03-26,1306,164.0,1280.0,4,1.0
2020-03-27,1610,304.0,1562.0,5,1.0
2020-03-28,1909,299.0,1842.0,6,1.0
2020-03-29,2139,230.0,2057.0,7,1.0
2020-03-30,2449,310.0,2285.0,8,1.0
2020-03-31,2738,289.0,2570.0,12,4.0
2020-04-01,3031,293.0,2781.0,16,4.0
2020-04-02,3404,373.0,3051.0,18,2.0
2020-04-03,3737,333.0,3288.0,22,4.0
2020-04-04,4161,424.0,3606.0,27,5.0
2020-04-05,4471,310.0,3819.0,34,7.0
2020-04-06,4815,344.0,4050.0,37,3.0
2020-04-07,5116,301.0,4175.0,43,6.0
2020-04-08,5546,430.0,4383.0,48,5.0
2020-04-09,5972,426.0,4641.0,57,9.0
2020-04-10,6501,529.0,4865.0,65,8.0
2020-04-11,6927,426.0,4990.0,73,8.0
2020-04-12,7213,286.0,5074.0,80,7.0
2020-04-13,7525,312.0,5076.0,82,2.0
2020-04-14,7917,392.0,5179.0,92,10.0
2020-04-15,8273,356.0,5242.0,94,2.0
2020-04-16,8807,534.0,5403.0,105,11.0
2020-04-17,9252,445.0,5515.0,116,11.0
2020-04-18,9730,478.0,5569.0,126,10.0
2020-04-19,10088,358.0,5617.0,133,7.0
2020-04-20,10507,419.0,5692.0,139,6.0
2020-04-21,10832,325.0,5716.0,147,8.0
2020-04-22,11296,464.0,5750.0,160,13.0
2020-04-23,11812,516.0,5840.0,168,8.0
2020-04-24,12306,494.0,5805.0,174,6.0
2020-04-25,12858,552.0,5931.0,181,7.0
2020-04-26,13331,473.0,6118.0,189,8.0
2020-04-27,13813,482.0,6288.0,198,9.0
2020-04-28,14365,552.0,6448.0,207,9.0
2020-04-29,14885,520.0,6612.0,216,9.0
2020-04-30,16023,1138.0,7216.0,227,11.0
2020-05-01,17008,985.0,7756.0,234,7.0
2020-05-02,18435,1427.0,8616.0,247,13.0
2020-05-03,19663,1228.0,9362.0,260,13.0
2020-05-04,20643,980.0,9958.0,270,10.0
2020-05-05,22016,1373.0,11031.0,275,5.0
2020-05-06,23048,1032.0,11578.0,281,6.0
2020-05-07,24581,1533.0,12632.0,285,4.0
2020-05-08,25972,1391.0,13518.0,294,9.0
2020-05-09,27219,1247.0,14248.0,304,10.0
2020-05-10,28866,1647.0,15442.0,312,8.0
2020-05-11,30063,1197.0,16135.0,323,11.0
2020-05-12,31721,1658.0,17261.0,335,12.0
2020-05-13,34381,2660.0,19170.0,346,11.0
2020-05-14,37040,2659.0,21017.0,368,22.0
2020-05-15,39542,2502.0,22534.0,394,26.0
2020-05-16,41428,1886.0,22993.0,421,27.0
2020-05-17,43781,2353.0,24118.0,450,29.0
2020-05-18,46059,2278.0,25416.0,478,28.0
2020-05-19,49579,3520.0,27563.0,509,31.0
2020-05-20,53617,4038.0,30569.0,544,35.0
2020-05-21,57581,3964.0,33000.0,589,45.0
2020-05-22,61857,4276.0,35885.0,630,41.0
2020-05-23,65393,3536.0,38174.0,673,43.0
2020-05-24,69102,3709.0,40236.0,718,45.0
2020-05-25,73997,4895.0,43934.0,761,43.0
2020-05-26,77961,3964.0,46240.0,806,45.0
2020-05-27,82289,4328.0,47908.0,841,35.0
2020-05-28,86943,4654.0,49903.0,890,49.0
2020-05-29,90638,3695.0,51096.0,944,54.0
2020-05-30,94858,4220.0,55316.0,997,53.0
